성별,연령,교육수준,소득,생활만족도,정치관심도
여성,23,대학원이상,980,3,3
여성,20,고졸이하,122,4,2
여성,30,대학원이상,459,3,3
여성,28,대졸,533,5,2
남성,41,대졸,708,4,3
남성,32,대졸,453,4,4
여성,49,대학원이상,654,4,2
남성,30,대학원이상,375,4,3
남성,21,대학원이상,269,5,3
남성,24,고졸이하,187,3,3
여성,33,고졸이하,247,3,1
여성,21,대졸,195,3,3
남성,20,고졸이하,103,5,2
남성,44,대졸,727,2,4
남성,20,대졸,684,3,1
남성,43,대졸,449,2,2
남성,21,대졸,486,2,3
남성,52,대졸,134,5,2
여성,52,고졸이하,171,1,3
남성,45,대졸,221,3,3
여성,37,대졸,467,3,3
여성,46,대학원이상,553,2,2
남성,20,대졸,299,3,1
여성,38,대졸,408,2,2
남성,35,대학원이상,327,3,4
여성,65,대졸,487,3,4
남성,38,대졸,109,4,4
여성,44,대학원이상,343,2,4
남성,24,대학원이상,607,2,3
남성,31,고졸이하,267,1,3
여성,23,대졸,520,2,4
남성,40,대졸,154,1,2
남성,32,고졸이하,239,1,3
여성,44,대학원이상,812,5,5
여성,20,대졸,330,4,4
여성,37,고졸이하,154,4,5
여성,20,대학원이상,810,3,2
여성,56,대학원이상,437,3,3
여성,40,대졸,202,3,4
남성,27,대졸,444,3,5
남성,27,대학원이상,739,3,1
여성,32,대졸,416,2,4
남성,30,대졸,111,5,2
여성,65,대졸,536,2,3
여성,51,고졸이하,414,2,3
남성,21,대학원이상,506,3,3
여성,25,고졸이하,167,4,4
남성,33,고졸이하,180,4,2
여성,30,고졸이하,322,3,2
여성,58,고졸이하,289,4,3
남성,37,대학원이상,705,2,2
남성,24,대학원이상,282,3,1
남성,43,고졸이하,111,4,5
여성,24,고졸이하,161,1,3
남성,36,대졸,352,3,4
여성,38,고졸이하,508,3,4
남성,29,대졸,526,3,3
남성,31,대학원이상,271,4,5
여성,31,대학원이상,473,3,2
남성,58,대학원이상,648,3,3
여성,52,고졸이하,201,4,4
남성,42,대학원이상,655,5,1
남성,44,대졸,875,3,3
여성,36,고졸이하,421,3,4
남성,28,대졸,223,5,3
여성,38,대졸,548,4,2
남성,46,대졸,196,5,1
남성,26,대졸,307,5,3
여성,43,대졸,380,3,3
여성,44,고졸이하,184,3,2
남성,30,고졸이하,149,4,3
남성,33,고졸이하,324,1,4
남성,30,대졸,438,1,5
남성,27,고졸이하,80,2,1
남성,48,대졸,237,4,1
여성,22,대졸,191,4,3
남성,48,대학원이상,626,3,4
남성,27,대졸,264,2,3
여성,23,대졸,436,3,1
남성,35,대학원이상,613,3,5
여성,55,고졸이하,274,5,2
여성,29,대학원이상,386,2,3
여성,51,대학원이상,772,4,5
여성,49,고졸이하,309,2,2
여성,33,대졸,406,5,2
여성,47,고졸이하,293,3,3
남성,20,대졸,204,2,2
남성,28,대졸,597,1,1
남성,20,대졸,134,4,3
여성,39,고졸이하,374,3,5
여성,40,대졸,334,4,3
여성,30,대졸,199,1,3
남성,45,대학원이상,586,4,4
남성,44,고졸이하,461,3,5
남성,39,대학원이상,324,5,3
남성,49,고졸이하,176,3,4
남성,43,대졸,196,3,5
여성,21,대학원이상,347,2,2
남성,44,대학원이상,335,4,4
여성,49,고졸이하,249,4,4
여성,41,대졸,217,4,4
여성,26,대졸,242,2,1
여성,27,대학원이상,762,4,3
여성,32,고졸이하,233,2,4
여성,40,대학원이상,387,3,1
여성,26,고졸이하,263,3,3
남성,43,고졸이하,217,3,2
남성,55,대학원이상,399,3,1
남성,46,고졸이하,203,3,1
남성,48,대졸,338,3,5
남성,48,대졸,268,4,4
여성,35,대졸,540,3,2
여성,47,대학원이상,261,3,1
남성,50,대학원이상,565,2,4
여성,20,고졸이하,189,3,4
여성,22,대졸,436,3,3
여성,39,대졸,130,3,3
여성,46,고졸이하,176,2,4
남성,53,대졸,203,2,5
여성,56,고졸이하,381,2,2
여성,36,대졸,193,3,2
