성별,연령,교육수준,소득,생활만족도,정치관심도
남성,52,대졸,287.0,3.0,3
남성,25,대졸,455.0,3.0,2
남성,26,대졸,238.0,2.0,3
여성,51,대학원이상,439.0,3.0,4
여성,32,대졸,306.0,2.0,5
여성,48,대학원이상,369.0,3.0,4
여성,21,고졸이하,238.0,3.0,1
남성,39,고졸이하,164.0,2.0,5
남성,52,대학원이상,431.0,2.0,5
여성,31,대졸,371.0,2.0,4
남성,38,대졸,,3.0,2
여성,42,고졸이하,78.0,2.0,4
여성,52,대졸,219.0,4.0,4
여성,19,대졸,343.0,2.0,3
여성,34,대졸,157.0,3.0,2
여성,58,대졸,499.0,4.0,2
남성,38,대학원이상,586.0,1.0,4
남성,55,대학원이상,438.0,3.0,3
남성,54,대학원이상,658.0,4.0,1
여성,36,대학원이상,539.0,3.0,1
남성,37,고졸이하,50.0,3.0,5
남성,48,대졸,152.0,4.0,2
남성,24,대졸,313.0,3.0,5
남성,34,대졸,194.0,4.0,2
남성,31,고졸이하,50.0,2.0,1
남성,30,대졸,322.0,3.0,3
남성,41,대학원이상,390.0,1.0,5
남성,29,대졸,426.0,3.0,1
남성,40,대학원이상,507.0,1.0,4
남성,34,대학원이상,543.0,3.0,4
여성,19,대졸,486.0,3.0,5
여성,31,대졸,356.0,3.0,3
남성,56,고졸이하,177.0,3.0,2
여성,40,고졸이하,120.0,3.0,3
남성,33,대졸,367.0,2.0,4
여성,39,고졸이하,499.0,5.0,1
여성,65,대학원이상,374.0,3.0,2
남성,31,대졸,,3.0,3
남성,35,대학원이상,405.0,4.0,4
남성,30,대학원이상,503.0,1.0,3
여성,22,고졸이하,413.0,4.0,1
여성,44,대졸,441.0,4.0,1
남성,28,대졸,546.0,4.0,2
남성,46,대학원이상,579.0,4.0,4
여성,35,대졸,564.0,5.0,3
여성,24,고졸이하,112.0,3.0,3
남성,56,고졸이하,183.0,3.0,1
남성,19,고졸이하,255.0,2.0,1
여성,53,고졸이하,191.0,4.0,5
여성,52,대졸,500.0,1.0,4
남성,51,대졸,66.0,4.0,1
남성,20,고졸이하,50.0,2.0,5
남성,43,대졸,357.0,3.0,5
남성,29,대학원이상,567.0,5.0,3
여성,24,대학원이상,378.0,3.0,1
남성,37,고졸이하,221.0,3.0,4
여성,35,대졸,314.0,3.0,5
남성,19,대졸,201.0,5.0,3
여성,26,고졸이하,265.0,1.0,2
남성,37,대학원이상,352.0,2.0,3
남성,52,대졸,229.0,3.0,3
남성,30,대학원이상,498.0,5.0,5
남성,51,대졸,94.0,4.0,4
여성,28,고졸이하,207.0,1.0,2
남성,31,대졸,451.0,2.0,2
