성별,연령대,교육수준,소득,생활만족도,정치관심도
남성,50대+,대학원,446,2,6
남성,20대,대졸,335,5,2
여성,20대,대학원,497,6,3
여성,40대,고졸,336,6,5
여성,40대,고졸,601,5,2
남성,50대+,대졸,121,10,8
남성,30대,고졸,50,6,5
남성,40대,대학원,443,5,2
남성,50대+,대졸,317,8,4
남성,20대,고졸,368,7,4
남성,50대+,고졸,496,6,4
남성,50대+,대학원,615,8,5
여성,40대,대졸,357,6,4
남성,40대,대졸,153,9,8
남성,20대,대학원,116,7,9
남성,40대,대졸,307,7,10
여성,20대,대학원,203,7,9
여성,40대,대학원,346,5,3
여성,30대,고졸,348,10,6
여성,30대,대졸,367,8,4
남성,30대,고졸,450,2,5
여성,30대,대졸,542,2,5
여성,20대,고졸,204,6,5
여성,50대+,대졸,389,4,5
여성,30대,고졸,134,3,3
여성,20대,고졸,127,5,5
남성,30대,고졸,93,6,3
남성,50대+,대학원,562,5,6
여성,20대,대학원,499,5,7
남성,30대,고졸,345,7,8
여성,40대,대학원,97,4,4
여성,20대,대졸,261,4,3
여성,40대,대졸,264,4,5
남성,20대,대학원,169,1,2
여성,40대,대학원,426,4,4
남성,20대,고졸,73,1,4
여성,40대,대학원,481,2,5
남성,30대,대학원,531,7,1
여성,20대,대학원,588,6,7
여성,20대,대졸,399,6,3
남성,30대,대학원,429,2,8
여성,40대,대졸,218,5,3
여성,20대,대졸,507,9,6
남성,40대,대졸,345,8,2
남성,20대,대졸,230,3,4
여성,30대,대학원,237,2,5
여성,40대,대학원,393,4,5
여성,20대,대졸,334,2,5
여성,30대,고졸,225,5,3
여성,40대,고졸,259,6,4
남성,30대,대학원,477,5,1
여성,20대,대졸,361,5,10
여성,30대,대졸,349,3,6
여성,20대,대학원,466,6,6
남성,30대,대학원,617,6,6
여성,50대+,대졸,74,9,1
여성,30대,고졸,354,8,5
남성,30대,대학원,453,6,6
남성,20대,대졸,453,6,2
남성,30대,대졸,511,7,4
남성,50대+,대학원,391,7,2
여성,50대+,대졸,188,6,4
남성,50대+,대졸,465,8,6
여성,30대,대졸,608,8,10
남성,40대,고졸,239,3,5
남성,20대,대졸,140,6,9
여성,20대,대졸,122,7,4
남성,30대,대학원,601,8,5
여성,50대+,고졸,330,6,3
여성,40대,대학원,251,3,2
여성,40대,고졸,320,8,5
